Rasmussen Reports,2/14 - 2/15,1000 LV,51,37,Obama +14
CNN/Opinion Research,2/10 - 2/13,937 RV,55,42,Obama +13
CBS News/NY Times,2/8 - 2/13,1604 RV,54,36,Obama +18
PPP (D),2/9 - 2/12,1200 RV,52,40,Obama +12
Pew Research,2/8 - 2/12,1172 RV,57,39,Obama +18
FOX News,2/6 - 2/9,1110 RV,51,38,Obama +13
Rasmussen Reports,2/6 - 2/7,1000 LV,46,43,Obama +3
Reuters/Ipsos,2/2 - 2/6,881 RV,50,38,Obama +12
ABC News/Wash Post,2/1 - 2/4,879 RV,54,43,Obama +11
IBD/CSM/TIPP,1/29 - 2/4,852 RV,52,33,Obama +19
Rasmussen Reports,1/31 - 2/1,1000 LV,49,41,Obama +8
USA Today/Gallup,1/27 - 1/28,907 RV,53,41,Obama +12
NBC News/Wall St. Jrnl,1/22 - 1/24,RV,55,37,Obama +18
PPP (D),1/13 - 1/16,700 RV,49,42,Obama +7
CBS News/NY Times,1/12 - 1/16,1021 RV,50,39,Obama +11
Rasmussen Reports,1/15 - 1/16,1000 LV,47,38,Obama +9
ABC News/Wash Post,1/12 - 1/15,RV,52,40,Obama +12
FOX News,1/12 - 1/14,906 RV,51,37,Obama +14
CNN/Opinion Research,1/11 - 1/12,928 RV,52,43,Obama +9
Rasmussen Reports,1/7 - 1/8,1000 LV,46,38,Obama +8
Reuters/Ipsos,1/5 - 1/9,896 RV,53,38,Obama +15
CBS News,1/4 - 1/8,1247 RV,49,41,Obama +8
Rasmussen Reports,1/2 - 1/2,1000 LV,49,39,Obama +10
Rasmussen Reports,12/26 - 12/26,1000 LV,47,37,Obama +10
Rasmussen Reports,12/18 - 12/19,1000 LV,48,37,Obama +11
CNN/Opinion Research,12/16 - 12/18,928 RV,56,40,Obama +16
PPP (D),12/16 - 12/18,700 RV,49,44,Obama +5
ABC News/Wash Post,12/15 - 12/18,RV,51,43,Obama +8
USA Today/Gallup,12/15 - 12/18,898 RV,50,48,Obama +2
Rasmussen Reports,12/12 - 12/13,1000 LV,49,39,Obama +10
Reuters/Ipsos,12/8 - 12/12,921 RV,51,38,Obama +13
Associated Press/GfK,12/8 - 12/12,1000 A,51,42,Obama +9
NBC News/Wall St. Jrnl,12/7 - 12/11,RV,51,40,Obama +11
USA Today/Gallup,12/6 - 12/7,883 RV,50,44,Obama +6
Rasmussen Reports,12/6 - 12/7,1000 LV,45,40,Obama +5
FOX News,12/5 - 12/7,911 RV,46,40,Obama +6
Rasmussen Reports,11/28 - 11/29,1000 LV,43,45,Gingrich +2
Rasmussen Reports,11/19 - 11/20,1000 LV,46,40,Obama +6
Quinnipiac,11/14 - 11/20,2552 RV,49,40,Obama +9
FOX News,11/13 - 11/15,914 RV,46,41,Obama +5
CNN/Opinion Research,11/11 - 11/13,925 RV,53,45,Obama +8
Pew Research,11/9 - 11/14,1576 RV,54,42,Obama +12
PPP (D),11/10 - 11/13,800 RV,49,43,Obama +6
Rasmussen Reports,11/11 - 11/12,1000 LV,50,38,Obama +12
McClatchy/Marist,11/8 - 11/10,872 RV,47,45,Obama +2
Rasmussen Reports,11/3 - 11/4,1000 LV,44,38,Obama +6
Quinnipiac,10/25 - 10/31,2294 RV,52,37,Obama +15
Rasmussen Reports,10/12 - 10/13,1000 LV,49,34,Obama +15
PPP (D),10/7 - 10/10,700 RV,50,39,Obama +11
PPP (D),9/8 - 9/11,665 RV,53,41,Obama +12
Rasmussen Reports,6/24 - 6/25,1000 LV,48,30,Obama +18
PPP (D),6/9 - 6/12,520 RV,52,39,Obama +13
FOX News,6/5 - 6/7,912 RV,53,34,Obama +19
Reuters/Ipsos,6/3 - 6/6,1132 A,55,34,Obama +21
ABC News/Wash Post,6/2 - 6/5,RV,50,44,Obama +6
PPP (D),5/23 - 5/25,600 RV,51,37,Obama +14
Reuters/Ipsos,5/5 - 5/9,600 A,53,35,Obama +18
PPP (D),5/5 - 5/8,814 RV,52,38,Obama +14
CNN/Opinion Research,4/29 - 5/1,964 RV,57,40,Obama +17
ABC News/Wash Post,4/14 - 4/17,1001 A,54,39,Obama +15
PPP (D),4/7 - 4/10,532 RV,52,38,Obama +14
Rasmussen Reports,3/18 - 3/19,1000 LV,49,37,Obama +12
PPP (D),3/10 - 3/13,642 RV,50,39,Obama +11
PPP (D),2/11 - 2/14,600 RV,49,40,Obama +9
FOX News,2/7 - 2/9,911 RV,55,35,Obama +20
Rasmussen Reports,1/15 - 1/16,1000 LV,47,39,Obama +8
NBC News/Wall St. Jrnl,1/13 - 1/17,1000 A,54,35,Obama +19
PPP (D),1/14 - 1/16,632 RV,51,39,Obama +12
PPP (D),11/19 - 11/21,707 RV,49,43,Obama +6
CNN/Opinion Research,10/27 - 10/30,921 RV,49,47,Obama +2
PPP (D),9/10 - 9/13,590 RV,47,43,Obama +4
PPP (D),8/6 - 8/9,606 RV,49,42,Obama +7
PPP (D),7/9 - 7/12,667 RV,45,46,Gingrich +1
PPP (D),6/4 - 6/7,650 RV,47,39,Obama +8
PPP (D),5/7 - 5/9,707 RV,49,42,Obama +7
PPP (D),4/9 - 4/11,622 RV,45,45,Tie
CNN/Opinion Research,4/9 - 4/11,907 RV,55,43,Obama +12
FOX News,1/12 - 1/13,900 RV,53,29,Obama +24
PPP (D),8/14 - 8/17,909 RV,49,41,Obama +8
PPP (D),7/15 - 7/16,577 RV,50,42,Obama +8
PPP (D),6/12 - 6/16,638 RV,49,41,Obama +8
PPP (D),5/14 - 5/18,1000 RV,53,36,Obama +17
PPP (D),4/17 - 4/19,686 RV,52,39,Obama +13
